sales_id,date,product_id,store_id,quantity_sold,unit_price,discount_percent,revenue
SA0045,2025-02-16,P007,S004,53,7.99,0.0,423.47
SA0046,2025-04-02,P008,S003,40,4.49,5.0,170.62
SA0047,2025-03-25,P006,S002,33,5.99,20.0,158.14
SA0048,2025-04-29,P009,S005,37,2.99,0.0,110.63
SA0049,2025-04-15,P004,S003,5,11.99,20.0,47.96
SA0050,2025-03-15,P008,S003,21,4.49,20.0,75.43
SA0051,2025-02-08,P006,S001,30,5.99,5.0,170.72
SA0052,2025-02-26,P008,S005,21,4.49,20.0,75.43
SA0053,2025-04-01,P001,S003,55,8.99,5.0,469.73
SA0054,2025-01-17,P005,S001,78,12.49,0.0,974.22
SA0055,2025-04-21,P003,S002,27,3.49,10.0,84.81
SA0056,2025-02-20,P002,S003,23,14.99,20.0,275.82
SA0057,2025-02-03,P008,S005,53,4.49,5.0,226.07
SA0058,2025-04-23,P002,S003,56,14.99,5.0,797.47
SA0059,2025-04-17,P006,S001,22,5.99,5.0,125.19
SA0060,2025-03-31,P008,S004,48,4.49,0.0,215.52
SA0061,2025-04-21,P005,S001,12,12.49,0.0,149.88
SA0062,2025-02-02,P010,S005,57,3.99,20.0,181.94
SA0063,2025-01-31,P001,S002,44,8.99,20.0,316.45
SA0064,2025-03-03,P001,S003,61,8.99,5.0,520.97
SA0065,2025-02-16,P001,S003,5,8.99,5.0,42.7
SA0066,2025-01-23,P002,S003,14,14.99,15.0,178.38
SA0067,2025-02-04,P009,S004,53,2.99,20.0,126.78
SA0068,2025-03-05,P009,S005,76,2.99,10.0,204.52
SA0069,2025-03-03,P002,S001,8,14.99,0.0,119.92
SA0070,2025-04-21,P005,S002,70,12.49,20.0,699.44
SA0071,2025-01-29,P001,S005,37,8.99,15.0,282.74
SA0072,2025-01-10,P002,S005,9,14.99,10.0,121.42
SA0073,2025-03-17,P002,S004,49,14.99,5.0,697.78
SA0074,2025-02-07,P007,S001,10,7.99,5.0,75.9
SA0075,2025-02-06,P005,S003,76,12.49,5.0,901.78
SA0076,2025-03-31,P004,S004,40,11.99,0.0,479.6
SA0077,2025-02-10,P008,S003,39,4.49,15.0,148.84
SA0078,2025-02-23,P004,S002,28,11.99,0.0,335.72
SA0079,2025-02-18,P002,S003,75,14.99,0.0,1124.25
SA0080,2025-01-13,P005,S004,55,12.49,10.0,618.26
SA0081,2025-04-25,P009,S005,51,2.99,5.0,144.87
SA0082,2025-02-01,P008,S002,14,4.49,5.0,59.72
SA0083,2025-03-29,P006,S002,63,5.99,20.0,301.9
SA0084,2025-04-30,P004,S001,50,11.99,10.0,539.55
SA0085,2025-04-22,P009,S002,23,2.99,15.0,58.45
SA0086,2025-01-12,P006,S005,24,5.99,20.0,115.01
SA0087,2025-01-30,P004,S003,63,11.99,0.0,755.37
SA0088,2025-04-20,P005,S003,8,12.49,5.0,94.92
SA0089,2025-01-17,P006,S005,41,5.99,0.0,245.59
SA0090,2025-04-19,P009,S001,57,2.99,5.0,161.91
SA0091,2025-04-25,P003,S004,30,3.49,20.0,83.76
SA0092,2025-04-28,P006,S001,26,5.99,20.0,124.59
SA0093,2025-03-14,P010,S004,30,3.99,5.0,113.72
SA0094,2025-01-03,P004,S005,48,11.99,10.0,517.97
SA0095,2025-02-24,P009,S003,51,2.99,15.0,129.62
SA0096,2025-01-15,P004,S003,63,11.99,5.0,717.6
SA0097,2025-02-17,P003,S002,76,3.49,5.0,251.98
SA0098,2025-04-09,P001,S005,64,8.99,20.0,460.29
SA0099,2025-01-25,P001,S003,17,8.99,5.0,145.19
SA0100,2025-04-06,P004,S004,43,11.99,15.0,438.23
